epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.261831,3.29255,6.86974,3.71944,0,0,0,0,0,9.95312,0,0,0,0
2,0.686898,5.54223,25.0935,5.0742,0,0,0,0,0,10.0781,0,1.9802e-05,1.9802e-05,1.9802e-05
3,1.14244,3.91499,27.8753,5.90065,0,0,0,0,0,10.1953,0,3.9208e-05,3.9208e-05,3.9208e-05
4,1.58583,3.61864,6.59734,3.66419,0,0,0,0,0,13.75,0,5.8218e-05,5.8218e-05,5.8218e-05
5,2.68697,4.34364,8.06397,3.82852,0,0,0,0,0,14.3281,0,7.6832e-05,7.6832e-05,7.6832e-05
